GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Residential Neighborhood,RN,,5.54,,"255, 255, 133",17,6965
Public/Quasi-Public,PQP,,9.21,,"209, 255, 240",12,322
Neighborhood/Community Commercial,NCC,,4,,"255, 125, 189",7,323
Neighborhood/Community Commercial,NCC,,1.52,,"255, 125, 189",7,324
Public/Quasi-Public,PQP,,1.59,,"209, 255, 240",12,326
Public/Quasi-Public,PQP,,10.6,,"209, 255, 240",12,327
Residential Neighborhood,RN,,7.74,,"255, 255, 133",17,7131
Public/Quasi-Public,PQP,,14.04,,"209, 255, 240",12,329
Residential Neighborhood,RN,,33.07,,"255, 255, 133",17,7042
Mixed Use Neighborhood,MUN,,10.24,,"207, 161, 22",16,331
Public/Quasi-Public,PQP,,3.17,,"209, 255, 240",12,332
Residential Neighborhood,RN,,14.05,,"255, 255, 133",17,7046
Residential Neighborhood,RN,,12.37,,"255, 255, 133",17,7047
Residential Neighborhood,RN,,10.2,,"255, 255, 133",17,7048
Residential Neighborhood,RN,,8.53,,"255, 255, 133",17,7049
Residential Neighborhood,RN,,2.63,,"255, 255, 133",17,333
Public/Quasi-Public,PQP,,9.1,,"209, 255, 240",12,334
Mixed Use Commercial,MUC,,9.58,,"255, 177, 96",6,336
Public/Quasi-Public,PQP,,2.79,,"209, 255, 240",12,337
"Open Space, Parklands and Habitat",OSPH,,0.42,,"96, 160, 0",22,338
Public/Quasi-Public,PQP,,2.89,,"209, 255, 240",12,339
Public/Quasi-Public,PQP,,44.43,,"209, 255, 240",12,307
Residential Neighborhood,RN,,14.62,,"255, 255, 133",17,9740
"Open Space, Parklands and Habitat",OSPH,,2.75,,"96, 160, 0",22,309
Residential Neighborhood,RN,,10.51,,"255, 255, 133",17,9741
Residential Neighborhood,RN,,24.63,,"255, 255, 133",17,9739
Residential Neighborhood,RN,,9.48,,"255, 255, 133",17,9742
Residential Neighborhood,RN,,7.82,,"255, 255, 133",17,9743
Residential Neighborhood,RN,,7.72,,"255, 255, 133",17,9744
Residential Neighborhood,RN,,7.06,,"255, 255, 133",17,9746
Residential Neighborhood,RN,,6.45,,"255, 255, 133",17,9747
Residential Neighborhood,RN,,4.24,,"255, 255, 133",17,9753
Residential Neighborhood,RN,,3.41,,"255, 255, 133",17,9755
Residential Neighborhood,RN,,1.13,,"255, 255, 133",17,9758
Residential Neighborhood,RN,,1.08,,"255, 255, 133",17,9759
Residential Neighborhood,RN,,57.55,Communication Hill Specific Plan,"255, 255, 133",17,312
Light Industrial,LI,,0.66,,"207, 224, 217",10,313
Rural Residential,RR,,7.6,,"255, 255, 208",18,315
Public/Quasi-Public,PQP,,3.85,,"209, 255, 240",12,380
Neighborhood/Community Commercial,NCC,,0.2,Alviso Specific Plan Area,"255, 125, 189",7,381
Public/Quasi-Public,PQP,,0.44,Alviso Specific Plan Area,"209, 255, 240",12,382
Neighborhood/Community Commercial,NCC,,0.36,Alviso Specific Plan Area,"255, 125, 189",7,383
Public/Quasi-Public,PQP,,0.29,,"209, 255, 240",12,3244
Public/Quasi-Public,PQP,,6.07,Alviso Specific Plan Area,"209, 255, 240",12,386
Mixed Use Commercial,MUC,,0.22,,"255, 177, 96",6,3241
Mixed Use Commercial,MUC,,0.17,,"255, 177, 96",6,3242
Public/Quasi-Public,PQP,,1.33,,"209, 255, 240",12,3243
Public/Quasi-Public,PQP,,0.72,,"209, 255, 240",12,3245
Light Industrial,LI,,138.09,Alviso Specific Plan Area,"207, 224, 217",10,387
Heavy Industrial,HI,,1.14,,"122, 158, 150",11,388
Residential Neighborhood,RN,,58.41,,"255, 255, 133",17,389
Public/Quasi-Public,PQP,,2.03,,"209, 255, 240",12,390
Residential Neighborhood,RN,,2.97,,"255, 255, 133",17,3671
"Open Space, Parklands and Habitat",OSPH,,5.45,,"96, 160, 0",22,352
Public/Quasi-Public,PQP,,8.01,,"209, 255, 240",12,356
Neighborhood/Community Commercial,NCC,,1.39,,"255, 125, 189",7,357
Public/Quasi-Public,PQP,,9.28,,"209, 255, 240",12,358
Public/Quasi-Public,PQP,,8.87,,"209, 255, 240",12,359
"Open Space, Parklands and Habitat",OSPH,,8.25,,"96, 160, 0",22,360
Residential Neighborhood,RN,,11.7,,"255, 255, 133",17,7118
Public/Quasi-Public,PQP,,5.62,,"209, 255, 240",12,362
Public/Quasi-Public,PQP,,2.74,Urban Village,"209, 255, 240",12,363
Public/Quasi-Public,PQP,,0.98,,"209, 255, 240",12,364
Residential Neighborhood,RN,,11.19,,"255, 255, 133",17,7119
Residential Neighborhood,RN,,5.85,,"255, 255, 133",17,366
"Open Space, Parklands and Habitat",OSPH,,8.73,,"96, 160, 0",22,367
Light Industrial,LI,,2.05,,"207, 224, 217",10,368
Residential Neighborhood,RN,,15.71,,"255, 255, 133",17,7114
Residential Neighborhood,RN,,9.79,,"255, 255, 133",17,7122
Residential Neighborhood,RN,,9.76,,"255, 255, 133",17,7123
Residential Neighborhood,RN,,9.6,,"255, 255, 133",17,7124
Residential Neighborhood,RN,,9.02,,"255, 255, 133",17,7126
Residential Neighborhood,RN,,8.92,,"255, 255, 133",17,7127
Public/Quasi-Public,PQP,,5.45,,"209, 255, 240",12,369
Residential Neighborhood,RN,,6.55,,"255, 255, 133",17,10793
Transit Residential,TR,,3.12,,"100, 64, 0",14,371
Urban Residential,UR,,6.07,,"160, 120, 0",15,372
Transit Residential,TR,,2.92,,"100, 64, 0",14,373
Residential Neighborhood,RN,,6.25,,"255, 255, 133",17,10794
Residential Neighborhood,RN,,4.94,,"255, 255, 133",17,10795
Urban Residential,UR,,2.36,,"160, 120, 0",15,374
"Open Space, Parklands and Habitat",OSPH,,1.99,,"96, 160, 0",22,375
"Open Space, Parklands and Habitat",OSPH,,9.1,,"96, 160, 0",22,376
"Open Space, Parklands and Habitat",OSPH,,1.97,,"96, 160, 0",22,377
Public/Quasi-Public,PQP,,10.68,,"209, 255, 240",12,379
Mixed Use Commercial,MUC,,1.9,,"255, 177, 96",6,3235
Mixed Use Commercial,MUC,,1.85,,"255, 177, 96",6,3236
Residential Neighborhood,RN,,0.22,,"255, 255, 133",17,11604
Rural Residential,RR,,2.85,,"255, 255, 208",18,403
Rural Residential,RR,,2.81,,"255, 255, 208",18,404
Industrial Park,IP,,6.96,,"138, 194, 230",9,11605
Mixed Use Neighborhood,MUN,,2.47,Jackson-Taylor Specific Plan,"207, 161, 22",16,3213
"Open Space, Parklands and Habitat",OSPH,,2.86,,"96, 160, 0",22,422
Mixed Use Commercial,MUC,,0.06,,"255, 177, 96",6,424
Mixed Use Commercial,MUC,,0.29,,"255, 177, 96",6,425
Mixed Use Commercial,MUC,,1.18,,"255, 177, 96",6,3237
Mixed Use Commercial,MUC,,0.58,,"255, 177, 96",6,3238
Mixed Use Commercial,MUC,,0.44,,"255, 177, 96",6,3239
Mixed Use Commercial,MUC,,0.43,,"255, 177, 96",6,3240
Transit Residential,TR,,18.88,Midtown Specific Plan,"100, 64, 0",14,4952
Mixed Use Neighborhood,MUN,,1.8,,"207, 161, 22",16,427
"Open Space, Parklands and Habitat",OSPH,,2.44,,"96, 160, 0",22,428
Neighborhood/Community Commercial,NCC,,0.87,,"255, 125, 189",7,429
"Open Space, Parklands and Habitat",OSPH,,16.2,,"96, 160, 0",22,10372
Rural Residential,RR,,5.53,,"255, 255, 208",18,407
Rural Residential,RR,,26.09,Communication Hill Specific Plan,"255, 255, 208",18,408
Rural Residential,RR,,24.07,,"255, 255, 208",18,409
Public/Quasi-Public,PQP,,23.11,,"209, 255, 240",12,410
Public/Quasi-Public,PQP,,5.14,Communication Hill Specific Plan,"209, 255, 240",12,411
Combined Industrial/Commercial,CIC,,54.74,,"212, 97, 252",8,412
Residential Neighborhood,RN,,2.51,Alviso Specific Plan Area,"255, 255, 133",17,11482
Residential Neighborhood,RN,,24.96,,"255, 255, 133",17,9237
Residential Neighborhood,RN,,3.68,,"255, 255, 133",17,3534
Residential Neighborhood,RN,,3.63,,"255, 255, 133",17,3535
Residential Neighborhood,RN,,14.94,,"255, 255, 133",17,9238
Residential Neighborhood,RN,,11.69,,"255, 255, 133",17,9239
Residential Neighborhood,RN,,11.58,,"255, 255, 133",17,9240
Residential Neighborhood,RN,,7.92,,"255, 255, 133",17,9241
Residential Neighborhood,RN,,7.29,,"255, 255, 133",17,9242
Residential Neighborhood,RN,,7,,"255, 255, 133",17,9243
Public/Quasi-Public,PQP,,10,,"209, 255, 240",12,416
Public/Quasi-Public,PQP,,8.77,,"209, 255, 240",12,417
Public/Quasi-Public,PQP,,10.4,,"209, 255, 240",12,418
Neighborhood/Community Commercial,NCC,,0.89,,"255, 125, 189",7,419
Neighborhood/Community Commercial,NCC,,12.79,,"255, 125, 189",7,420
Residential Neighborhood,RN,,3.61,,"255, 255, 133",17,3536
Combined Industrial/Commercial,CIC,,8.77,,"212, 97, 252",8,391
Public/Quasi-Public,PQP,,75.82,,"209, 255, 240",12,393
"Open Space, Parklands and Habitat",OSPH,,5.13,,"96, 160, 0",22,394
Residential Neighborhood,RN,,10.68,,"255, 255, 133",17,3573
Residential Neighborhood,RN,,6.49,,"255, 255, 133",17,3575
Residential Neighborhood,RN,,2.36,,"255, 255, 133",17,3616
Urban Residential,UR,,83.39,,"160, 120, 0",15,395
"Open Space, Parklands and Habitat",OSPH,,1.24,,"96, 160, 0",22,396
Residential Neighborhood,RN,,3.29,,"255, 255, 133",17,11763
Open Hillside,OH,,8114.11,,"177, 210, 149",23,11746
Public/Quasi-Public,PQP,,14.64,,"209, 255, 240",12,399
Open Hillside,OH,,24,,"177, 210, 149",23,11747
Residential Neighborhood,RN,,3.13,,"255, 255, 133",17,11764
Residential Neighborhood,RN,,16.23,,"255, 255, 133",17,11774
"Open Space, Parklands and Habitat",OSPH,,5.82,,"96, 160, 0",22,454
Public/Quasi-Public,PQP,,1.26,,"209, 255, 240",12,455
Urban Residential,UR,,1.37,,"160, 120, 0",15,457
"Open Space, Parklands and Habitat",OSPH,,1.1,,"96, 160, 0",22,458
Mixed Use Neighborhood,MUN,,13.46,,"207, 161, 22",16,7797
Public/Quasi-Public,PQP,,4.82,,"209, 255, 240",12,459
Neighborhood/Community Commercial,NCC,,2.06,Urban Village,"255, 125, 189",7,460
Mixed Use Neighborhood,MUN,,26.1,,"207, 161, 22",16,5142
Mixed Use Neighborhood,MUN,,23.1,,"207, 161, 22",16,5143
Mixed Use Neighborhood,MUN,,3.41,,"207, 161, 22",16,5144
Mixed Use Neighborhood,MUN,,1.31,,"207, 161, 22",16,5145
Combined Industrial/Commercial,CIC,,5.99,Urban Village,"212, 97, 252",8,430
"Open Space, Parklands and Habitat",OSPH,,13.39,,"96, 160, 0",22,431
Public/Quasi-Public,PQP,,2.27,,"209, 255, 240",12,8350
Transit Residential,TR,,3.91,Martha Gardens Specific Plan,"100, 64, 0",14,8344
Transit Residential,TR,,3.68,Martha Gardens Specific Plan,"100, 64, 0",14,8345
Public/Quasi-Public,PQP,,0.74,,"209, 255, 240",12,8351
Mixed Use Commercial,MUC,,1.03,,"255, 177, 96",6,8352
Mixed Use Commercial,MUC,,0.97,,"255, 177, 96",6,8353
Residential Neighborhood,RN,,21.03,,"255, 255, 133",17,4451
"Open Space, Parklands and Habitat",OSPH,,1.24,Rincon South Specific Plan,"96, 160, 0",22,435
Urban Residential,UR,,4.44,,"160, 120, 0",15,436
Residential Neighborhood,RN,,11.17,,"255, 255, 133",17,4459
Residential Neighborhood,RN,,8.88,,"255, 255, 133",17,4452
Mixed Use Neighborhood,MUN,,1.93,,"207, 161, 22",16,437
Public/Quasi-Public,PQP,,27.11,,"209, 255, 240",12,438
Neighborhood/Community Commercial,NCC,,4.74,Midtown Specific Plan,"255, 125, 189",7,440
Public/Quasi-Public,PQP,,42.19,,"209, 255, 240",12,441
Lower Hillside,LH,,2.48,,"248, 225, 206",19,443
Public/Quasi-Public,PQP,,9.55,,"209, 255, 240",12,445
Residential Neighborhood,RN,,7.8,,"255, 255, 133",17,4189
Mixed Use Commercial,MUC,,0.94,,"255, 177, 96",6,8220
Residential Neighborhood,RN,,6.05,,"255, 255, 133",17,4183
Residential Neighborhood,RN,,15.08,,"255, 255, 133",17,4164
Public/Quasi-Public,PQP,,9.46,,"209, 255, 240",12,450
Public/Quasi-Public,PQP,,8.87,,"209, 255, 240",12,453
Residential Neighborhood,RN,,5.83,,"255, 255, 133",17,4165
Residential Neighborhood,RN,,4.33,,"255, 255, 133",17,4168
Residential Neighborhood,RN,,3.85,,"255, 255, 133",17,4186
Public/Quasi-Public,PQP,,0.79,,"209, 255, 240",12,472
"Open Space, Parklands and Habitat",OSPH,,0.73,Jackson-Taylor Specific Plan,"96, 160, 0",22,473
Neighborhood/Community Commercial,NCC,,1.15,,"255, 125, 189",7,474
"Open Space, Parklands and Habitat",OSPH,,1.31,Jackson-Taylor Specific Plan,"96, 160, 0",22,475
Light Industrial,LI,,0.75,,"207, 224, 217",10,476
"Open Space, Parklands and Habitat",OSPH,,1.2,,"96, 160, 0",22,477
Urban Residential,UR,,0.56,,"160, 120, 0",15,478
Public/Quasi-Public,PQP,,1.42,,"209, 255, 240",12,479
Public/Quasi-Public,PQP,,4.83,,"209, 255, 240",12,480
Mixed Use Neighborhood,MUN,,2.57,,"207, 161, 22",16,5086
Public/Quasi-Public,PQP,,4.85,,"209, 255, 240",12,504
Public/Quasi-Public,PQP,,5.08,,"209, 255, 240",12,505
Public/Quasi-Public,PQP,,0.28,,"209, 255, 240",12,506
Public/Quasi-Public,PQP,,2.78,Urban Village,"209, 255, 240",12,507
"Open Space, Parklands and Habitat",OSPH,,0.63,,"96, 160, 0",22,508
Light Industrial,LI,,0.47,,"207, 224, 217",10,509
Neighborhood/Community Commercial,NCC,,1.36,,"255, 125, 189",7,510
Urban Residential,UR,,3.4,,"160, 120, 0",15,512
Residential Neighborhood,RN,,4.65,,"255, 255, 133",17,3491
Public/Quasi-Public,PQP,,4.95,,"209, 255, 240",12,515
Public/Quasi-Public,PQP,,2.31,Urban Village,"209, 255, 240",12,516
Mixed Use Neighborhood,MUN,,0.19,,"207, 161, 22",16,517
Residential Neighborhood,RN,,6.2,,"255, 255, 133",17,10273
Public/Quasi-Public,PQP,,0.47,,"209, 255, 240",12,3246
Public/Quasi-Public,PQP,,0.22,,"209, 255, 240",12,484
Public/Quasi-Public,PQP,,2.26,,"209, 255, 240",12,485
"Open Space, Parklands and Habitat",OSPH,,1.7,Jackson-Taylor Specific Plan,"96, 160, 0",22,486
Residential Neighborhood,RN,,2.78,,"255, 255, 133",17,3493
"Open Space, Parklands and Habitat",OSPH,,50.28,,"96, 160, 0",22,5085
Mixed Use Neighborhood,MUN,,0.69,,"207, 161, 22",16,5087
Residential Neighborhood,RN,,3.73,,"255, 255, 133",17,10278
Mixed Use Neighborhood,MUN,,9.68,Jackson-Taylor Specific Plan,"207, 161, 22",16,487
Public/Quasi-Public,PQP,,0.93,,"209, 255, 240",12,488
Neighborhood/Community Commercial,NCC,,1.73,,"255, 125, 189",7,489
Public/Quasi-Public,PQP,,0.43,,"209, 255, 240",12,490
Transit Residential,TR,,5.44,Midtown Specific Plan,"100, 64, 0",14,4943
Downtown,DT,,0.32,,"232, 208, 255",1,494
Downtown,DT,,2.79,,"232, 208, 255",1,495
Transit Residential,TR,,3.69,Midtown Specific Plan,"100, 64, 0",14,4944
Residential Neighborhood,RN,,4.13,,"255, 255, 133",17,5598
"Open Space, Parklands and Habitat",OSPH,,0.47,,"96, 160, 0",22,498
Residential Neighborhood,RN,,24.84,,"255, 255, 133",17,5192
"Open Space, Parklands and Habitat",OSPH,,3.33,Urban Village,"96, 160, 0",22,500
Light Industrial,LI,,0.25,,"207, 224, 217",10,501
Residential Neighborhood,RN,,11.37,,"255, 255, 133",17,5193
Light Industrial,LI,,0.38,,"207, 224, 217",10,503
Residential Neighborhood,RN,,4.7,,"255, 255, 133",17,5194
Residential Neighborhood,RN,,4.59,,"255, 255, 133",17,5195
Residential Neighborhood,RN,,2.53,,"255, 255, 133",17,5197
Urban Village,UV,,24.89,Urban Village,"255, 113, 65",3,463
Neighborhood/Community Commercial,NCC,,13.66,,"255, 125, 189",7,464
Residential Neighborhood,RN,,5.36,,"255, 255, 133",17,3707
Residential Neighborhood,RN,,7.41,Urban Village,"255, 255, 133",17,5180
Urban Village,UV,,6.81,Rincon South Specific Plan,"255, 113, 65",3,5030
Mixed Use Neighborhood,MUN,,3.05,Urban Village,"207, 161, 22",16,5178
Mixed Use Neighborhood,MUN,,1.19,Urban Village,"207, 161, 22",16,5179
"Open Space, Parklands and Habitat",OSPH,,5.23,Jackson-Taylor Specific Plan,"96, 160, 0",22,471
Urban Residential,UR,,1.97,,"160, 120, 0",15,553
Private Recreation and Open Space,PROS,,4.34,Urban Village,"117, 200, 145",21,554
Public/Quasi-Public,PQP,,9.25,,"209, 255, 240",12,555
Residential Neighborhood,RN,,3.42,,"255, 255, 133",17,9340
Public/Quasi-Public,PQP,,8.92,Urban Village,"209, 255, 240",12,558
Mixed Use Neighborhood,MUN,,1.49,Urban Village,"207, 161, 22",16,559
Mixed Use Neighborhood,MUN,,11.58,,"207, 161, 22",16,9346
Public/Quasi-Public,PQP,,0.88,Urban Village,"209, 255, 240",12,518
Neighborhood/Community Commercial,NCC,,0.4,,"255, 125, 189",7,4988
Neighborhood/Community Commercial,NCC,,0.13,,"255, 125, 189",7,4989
Public/Quasi-Public,PQP,,2.72,,"209, 255, 240",12,521
Neighborhood/Community Commercial,NCC,,0.24,,"255, 125, 189",7,4990
Neighborhood/Community Commercial,NCC,,0.13,,"255, 125, 189",7,4991
"Open Space, Parklands and Habitat",OSPH,,6.15,,"96, 160, 0",22,4993
"Open Space, Parklands and Habitat",OSPH,,1.48,,"96, 160, 0",22,526
Public/Quasi-Public,PQP,,0.46,,"209, 255, 240",12,527
"Open Space, Parklands and Habitat",OSPH,,1.01,Midtown Specific Plan,"96, 160, 0",22,2689
Neighborhood/Community Commercial,NCC,,0.12,,"255, 125, 189",7,4992
Urban Residential,UR,,2.14,,"160, 120, 0",15,529
Public/Quasi-Public,PQP,,3.89,,"209, 255, 240",12,530
Residential Neighborhood,RN,,3.35,,"255, 255, 133",17,9341
"Open Space, Parklands and Habitat",OSPH,,0.49,,"96, 160, 0",22,532
"Open Space, Parklands and Habitat",OSPH,,5.3,,"96, 160, 0",22,533
Mixed Use Neighborhood,MUN,,1.49,,"207, 161, 22",16,534
Public/Quasi-Public,PQP,,4.55,,"209, 255, 240",12,536
Neighborhood/Community Commercial,NCC,,0.4,,"255, 125, 189",7,538
"Open Space, Parklands and Habitat",OSPH,,0.39,,"96, 160, 0",22,539
"Open Space, Parklands and Habitat",OSPH,,0.56,,"96, 160, 0",22,540
"Open Space, Parklands and Habitat",OSPH,,1.15,,"96, 160, 0",22,541
"Open Space, Parklands and Habitat",OSPH,,0.16,,"96, 160, 0",22,542
Public/Quasi-Public,PQP,,1.98,Urban Village,"209, 255, 240",12,543
Residential Neighborhood,RN,,12.53,,"255, 255, 133",17,7289
Residential Neighborhood,RN,,11.7,,"255, 255, 133",17,7290
Residential Neighborhood,RN,,9.33,,"255, 255, 133",17,7291
Residential Neighborhood,RN,,3.73,,"255, 255, 133",17,7301
Urban Residential,UR,,11.84,,"160, 120, 0",15,544
Mixed Use Neighborhood,MUN,,13.87,,"207, 161, 22",16,545
Neighborhood/Community Commercial,NCC,,1.34,,"255, 125, 189",7,546
"Open Space, Parklands and Habitat",OSPH,,0.15,,"96, 160, 0",22,547
Residential Neighborhood,RN,,7.46,,"255, 255, 133",17,548
Mixed Use Neighborhood,MUN,,3.84,Urban Village,"207, 161, 22",16,549
Neighborhood/Community Commercial,NCC,,1.11,,"255, 125, 189",7,550
Public/Quasi-Public,PQP,,4.09,,"209, 255, 240",12,552
Public/Quasi-Public,PQP,,4.03,Urban Village,"209, 255, 240",12,4514
Public/Quasi-Public,PQP,,8.67,,"209, 255, 240",12,569
Public/Quasi-Public,PQP,,35.55,,"209, 255, 240",12,570
"Open Space, Parklands and Habitat",OSPH,,0.5,Urban Village,"96, 160, 0",22,571
Public/Quasi-Public,PQP,,3.28,,"209, 255, 240",12,572
Public/Quasi-Public,PQP,,8.99,,"209, 255, 240",12,585
Public/Quasi-Public,PQP,,8.95,,"209, 255, 240",12,587
Public/Quasi-Public,PQP,,0.57,Urban Village,"209, 255, 240",12,588
Public/Quasi-Public,PQP,,5.39,Urban Village,"209, 255, 240",12,589
Residential Neighborhood,RN,,23.02,,"255, 255, 133",17,11670
Residential Neighborhood,RN,,15.33,,"255, 255, 133",17,9329
Residential Neighborhood,RN,,10.2,,"255, 255, 133",17,9330
Residential Neighborhood,RN,,9.62,,"255, 255, 133",17,9331
Residential Neighborhood,RN,,8.62,,"255, 255, 133",17,9332
Residential Neighborhood,RN,,7.15,,"255, 255, 133",17,9333
Residential Neighborhood,RN,,6.14,,"255, 255, 133",17,9334
Residential Neighborhood,RN,,5.21,,"255, 255, 133",17,9335
Mixed Use Neighborhood,MUN,,7.5,,"207, 161, 22",16,591
Neighborhood/Community Commercial,NCC,,3.25,,"255, 125, 189",7,5097
Neighborhood/Community Commercial,NCC,,3.15,,"255, 125, 189",7,593
Mixed Use Neighborhood,MUN,,4.1,,"207, 161, 22",16,5094
Public/Quasi-Public,PQP,,8.79,,"209, 255, 240",12,573
Public/Quasi-Public,PQP,,9.02,,"209, 255, 240",12,574
Residential Neighborhood,RN,,17.71,,"255, 255, 133",17,575
Residential Neighborhood,RN,,4.87,,"255, 255, 133",17,9336
Mixed Use Neighborhood,MUN,,0.63,,"207, 161, 22",16,577
Residential Neighborhood,RN,,4.66,,"255, 255, 133",17,9337
Residential Neighborhood,RN,,3.75,,"255, 255, 133",17,9338
Residential Neighborhood,RN,,3.42,,"255, 255, 133",17,9339
"Open Space, Parklands and Habitat",OSPH,,14.48,,"96, 160, 0",22,578
Public/Quasi-Public,PQP,,4.3,,"209, 255, 240",12,579
Mixed Use Neighborhood,MUN,,3.43,,"207, 161, 22",16,582
"Open Space, Parklands and Habitat",OSPH,,3.83,,"96, 160, 0",22,583
"Open Space, Parklands and Habitat",OSPH,,4.81,,"96, 160, 0",22,584
Residential Neighborhood,RN,,2.8,,"255, 255, 133",17,9344
Public/Quasi-Public,PQP,,15.88,,"209, 255, 240",12,560
"Open Space, Parklands and Habitat",OSPH,,9.21,,"96, 160, 0",22,561
Public/Quasi-Public,PQP,,2.09,,"209, 255, 240",12,562
Public/Quasi-Public,PQP,,10.32,,"209, 255, 240",12,563
Mixed Use Neighborhood,MUN,,13.48,,"207, 161, 22",16,9345
"Open Space, Parklands and Habitat",OSPH,,6.25,,"96, 160, 0",22,564
Public/Quasi-Public,PQP,,2.15,Urban Village,"209, 255, 240",12,565
Public/Quasi-Public,PQP,,11.32,,"209, 255, 240",12,566
Public/Quasi-Public,PQP,,15.24,,"209, 255, 240",12,568
Residential Neighborhood,RN,,3.93,,"255, 255, 133",17,10211
Residential Neighborhood,RN,,3.15,,"255, 255, 133",17,10212
Combined Industrial/Commercial,CIC,,3.74,,"212, 97, 252",8,1047
Public/Quasi-Public,PQP,,12,,"209, 255, 240",12,1048
Residential Neighborhood,RN,,1.5,,"255, 255, 133",17,3518
Residential Neighborhood,RN,,6.79,,"255, 255, 133",17,3506
Residential Neighborhood,RN,,6.44,,"255, 255, 133",17,3507
Residential Neighborhood,RN,,4.34,,"255, 255, 133",17,3510
Residential Neighborhood,RN,,3.48,,"255, 255, 133",17,3512
Residential Neighborhood,RN,,2.16,,"255, 255, 133",17,3516
"Open Space, Parklands and Habitat",OSPH,,3.52,,"96, 160, 0",22,5078
"Open Space, Parklands and Habitat",OSPH,,3.5,,"96, 160, 0",22,5079
Residential Neighborhood,RN,,11.07,,"255, 255, 133",17,10215
Residential Neighborhood,RN,,8.69,,"255, 255, 133",17,10216
Neighborhood/Community Commercial,NCC,,0.68,,"255, 125, 189",7,1142
Combined Industrial/Commercial,CIC,,14.26,,"212, 97, 252",8,10698
Rural Residential,RR,,3.67,,"255, 255, 208",18,1145
Rural Residential,RR,,0.6,,"255, 255, 208",18,1146
Neighborhood/Community Commercial,NCC,,23.59,,"255, 125, 189",7,9350
Mixed Use Neighborhood,MUN,,0.88,,"207, 161, 22",16,7787
Residential Neighborhood,RN,,12.84,,"255, 255, 133",17,1241
